code,cname,pe,pb,mv
835857,百甲科技,64.25,1.24,900878586.0
837006,晟楠科技,81.43,3.94,1335347688.0
830799,艾融软件,173.0,19.68,7210140319.0
831370,新安洁,-31.48,1.68,1148550000.0
300489,光智科技,-53.15,6.58,3763975309.0
300865,大宏立,85.9,2.17,1893507200.0
300674,宇信科技,48.45,3.91,15791999856.0
300929,华骐环保,-55.82,1.52,1260548400.0
300355,蒙草生态,169.42,1.97,8566652713.0
300114,中航电测,244.94,16.64,41158283965.0
301551,无线传媒,130.88,13.94,32936823400.0
301357,北方长龙,-408.39,2.99,3388168000.0
300290,荣科科技,-1660.83,16.25,13364013366.0
300337,银邦股份,84.59,8.26,14063051200.0
300120,经纬辉开,45.48,1.46,4382625678.0
300621,维业股份,106.12,2.36,2101372670.0
835438,戈碧迦,23.67,2.47,2267062500.0
836149,旭杰科技,33.72,3.4,646120080.0
300339,润和软件,278.11,13.85,47147521787.0
300588,熙菱信息,-66.45,7.78,2806965300.0
688232,新点软件,-254.42,2.24,12041700000.0
920008,成电光信,46.29,9.23,2499000000.0
300427,红相股份,227.2,3.24,3960820219.0
300735,光弘科技,125.42,5.22,24804329468.0
300581,晨曦航空,-114.21,5.8,5798154615.0
836239,长虹能源,24.34,5.27,4202012527.0
300810,中科海讯,-21.89,3.21,2526270000.0
688252,天德钰,48.62,4.94,9820602397.0
300709,精研科技,77.38,4.37,9164276539.0
835174,五新隧装,13.88,2.75,1932487175.0
300077,国民技术,-47.54,11.67,12735487128.0
300540,蜀道装备,11757.13,3.83,3930987354.0
300197,节能铁汉,-7.36,1.54,6049208083.0
300564,筑博设计,-32.85,1.59,1992061536.0
301183,东田微,84.93,5.04,4152000000.0
873169,七丰精工,68.55,2.23,685843822.0
300862,蓝盾光电,1333.95,2.63,5265302565.0
301098,金埔园林,30.93,1.26,1522518108.0
300256,星星科技,-50.01,5.42,7780589314.0
300227,光韵达,145.05,2.44,3872572292.0
871642,通易航天,-75.73,4.26,1023225644.0
300922,天秦装备,78.97,2.91,2513683536.0
837242,建邦科技,16.01,2.41,1243925295.0
300722,新余国科,97.87,14.36,8551775232.0
300715,凯伦股份,199.06,1.33,3090824313.0
688260,昀冢科技,-38.05,6.67,2096400000.0
300900,广联航空,80.43,4.5,6558553419.0
300563,神宇股份,82.41,9.21,9429611655.0
300649,杭州园林,-44.26,3.06,1573109315.0
688018,乐鑫科技,48.58,7.62,14734160599.0
833873,中设咨询,-8.99,1.8,685639899.0
300425,中建环能,76.04,1.68,3878768224.0
300468,四方精创,165.02,7.54,12146561905.0
300972,万辰集团,5069.24,9.76,9475009560.0
300159,新研股份,-16.55,-44.7,4526877087.0
600939,重庆建工,-142.31,0.67,5363056545.0
600622,光大嘉宝,-9.93,0.92,4394078228.0
002094,青岛金王,27.75,1.52,2252326010.0
600657,信达地产,59.75,0.51,12719378534.0
002480,新筑股份,-9.42,2.77,3438183955.0
600322,津投城开,-6.26,85.17,2532053000.0
002512,达华智能,1271.37,11.31,5253692957.0
002211,宏达新材,-68.62,41.83,2028311404.0
601929,吉视传媒,-10.92,0.79,4955499199.0
600326,西藏天路,-63.55,2.27,8555849286.0
600239,云南城投,64.09,3.74,5266653062.0
300875,捷强装备,1405.09,2.79,3494216285.0
000563,陕国投Ａ,13.86,1.09,19023969732.0
002686,亿利达,47.61,1.97,3221900667.0
000595,宝塔实业,-182.29,24.91,11716774006.0
601606,长城军工,-107.1,3.31,8487956848.0
002786,银宝山新,-40.15,13.52,5759011440.0
000702,正虹科技,-91.43,4.94,2052019692.0
000617,中油资本,19.35,1.15,117824177016.0
002130,沃尔核材,23.55,3.88,19755209452.0
605158,华达新材,14.74,1.85,4602780000.0
002989,中天精装,-47.95,2.86,4370170257.0
003001,中岩大地,79.91,2.79,3229128455.0
002423,中粮资本,17.57,1.94,41266530848.0
603038,华立股份,73.06,1.98,2686771060.0
000628,高新发展,162.97,9.05,19125281200.0
002827,高争民爆,74.12,9.77,8161320000.0
603893,瑞芯微,85.6,9.82,31288899840.0
600719,大连热电,-33.36,5.43,2759369272.0
600678,四川金顶,-101.46,10.21,2264945100.0
600203,福日电子,-25.11,2.41,4696465609.0
002302,西部建设,814.09,1.0,9164692247.0
000935,四川双马,51.11,1.6,11589024255.0
000793,华闻集团,-29.0,4.01,3515152004.0
000503,国新健康,-71.73,7.77,10470604716.0
003042,中农联合,-31.53,1.42,2054561600.0
603196,日播时尚,-43.68,3.14,2400843551.0
000697,炼石航空,-25.31,22.56,6731607754.0
600550,保变电气,400.87,34.55,18267962522.0
603958,哈森股份,-101.08,3.03,2395411200.0
300093,金刚光伏,-8.61,-17.35,3838320000.0
600193,创兴资源,-84.84,4.05,1174029480.0
000567,海德股份,19.98,2.87,15108997358.0
002285,世联行,166.68,1.66,5061785757.0
000042,中洲控股,-3.89,0.61,3231079336.0
002628,成都路桥,-37.61,0.71,2097168150.0
000571,新大洲A,-60.96,9.05,3264211810.0
603778,国晟科技,-10.13,2.63,2217857140.0
600225,卓朗科技,-46.64,6.0,11018803792.0
000826,启迪环境,-6.57,0.72,2879213561.0
600837,海通证券,79.78,0.93,152067288000.0
688629,华丰科技,-357.31,8.76,12810990773.0
300436,广生堂,-51.69,7.75,3725255130.0
300134,大富科技,-37.59,2.4,10292148260.0
688543,国科军工,52.0,3.83,8282571397.0
300719,安达维尔,190.11,5.18,5445410101.0
000801,四川九洲,75.93,3.52,10289434859.0
688511,天微电子,571.16,1.83,1586331951.0
300663,科蓝软件,-1671.79,11.08,11337449955.0
872541,铁大科技,32.72,2.69,1012947000.0
603261,立航科技,-47.89,2.93,2323205288.0
000514,渝开发,-57.06,1.01,3754780794.0
002891,中宠股份,28.09,3.54,8002846620.0
300374,中铁装配,-49.51,5.64,4839554792.0
300056,中创环保,921.97,18.32,5585756519.0
688372,伟测科技,297.26,2.6,6454431856.0
301027,华蓝集团,-35.36,1.55,1460868063.0
002479,富春环保,20.38,1.02,4022250000.0
838971,天马新材,52.27,3.72,1587999870.0
301110,青木科技,28.12,2.71,3770814820.0
002272,川润股份,-25.36,1.8,2870473616.0
688631,莱斯信息,-1269.08,7.72,13837735500.0
002791,坚朗五金,1135.07,1.96,11101372858.0
002693,双成药业,-213.39,15.9,7232189240.0
832876,慧为智能,155.07,4.44,1131505018.0
300609,汇纳科技,-65.54,4.11,4285681328.0
605366,宏柏新材,193.48,2.14,4195300185.0
601211,国泰君安,17.13,1.16,171842000966.0
002037,保利联合,-38.1,2.08,3963006406.0
688676,金盘科技,35.31,3.75,15708523665.0
301236,软通动力,-194.75,5.87,60111529445.0
600120,浙江东方,60.19,1.04,15369216714.0
688127,蓝特光学,82.02,4.98,8063726400.0
300965,*ST恒宇,104.96,1.56,1896600000.0
002355,兴民智通,323.88,3.84,4120587456.0
300527,中船应急,-3890.94,3.93,9940675913.0
300737,科顺股份,33.67,1.24,6321847106.0
301091,深城交,-804.96,7.01,15538536000.0
601077,渝农商行,4.58,0.55,67347010000.0
688800,瑞可达,40.65,2.65,5281718566.0
688090,瑞松科技,847.77,5.49,4901880687.0
000004,国华网安,-62.52,13.46,2376226062.0
300909,汇创达,48.24,2.17,4217081228.0
301578,辰奕智能,72.04,3.73,3400176000.0
003021,兆威机电,59.14,3.56,11097401700.0
301213,观想科技,514.74,3.91,3107999961.0
605122,四方新材,83.47,0.85,1887276300.0
603822,嘉澳环保,-19.27,2.78,2691196222.0
300525,博思软件,-158.01,5.18,11920767975.0
301013,利和兴,110.65,3.5,2975549103.0
001301,尚太科技,18.53,2.27,13217692378.0
300085,银之杰,-244.01,39.42,24414430484.0
300808,久量股份,-464.41,2.94,3004800000.0
002899,英派斯,25.68,1.6,2627830233.0
300518,新迅达,-15.54,2.43,2516574089.0
300049,福瑞股份,84.37,7.75,12716286580.0
600501,航天晨光,-31.07,3.57,7651769364.0
000829,天音控股,555.21,3.64,10855813638.0
300424,航新科技,111.79,4.83,3601081987.0
838275,驱动力,57.16,2.79,641110400.0
834770,艾能聚,23.04,1.56,883597468.0
002668,TCL智家,11.16,6.37,12478122536.0
301306,西测测试,-32.01,2.79,3145588000.0
301151,冠龙节能,111.5,1.41,2863987276.0
601702,华峰铝业,15.91,3.64,17773844680.0
688550,瑞联新材,23.76,1.57,4530783128.0
300775,三角防务,26.73,2.8,15582683435.0
000838,财信发展,152.43,4.29,2960243237.0
873665,科强股份,14.98,1.67,1141312200.0
603016,新宏泰,52.51,4.86,3952908800.0
603325,博隆技术,25.34,2.21,4996916500.0
603160,汇顶科技,57.78,4.38,36661262400.0
872374,云里物里,37.27,5.32,1333634480.0
003009,中天火箭,160.88,4.19,6590242491.0
300008,天海防务,71.13,4.31,8640145665.0
301511,德福科技,-42.59,2.17,8982088500.0
834415,恒拓开源,67.38,2.14,1112850977.0
300334,津膜科技,698.01,3.45,1960404160.0
300397,天和防务,-113.5,3.89,6273757349.0
603052,可川科技,66.94,4.43,4811376640.0
300757,罗博特科,229.61,24.85,24899161901.0
002271,东方雨虹,17.77,1.29,33523701665.0
600114,东睦股份,28.27,4.12,10718908665.0
688648,中邮科技,-49.92,1.99,3322480000.0
833523,德瑞锂电,14.23,3.53,1791008204.0
603615,茶花股份,-161.64,3.52,4098849000.0
300815,玉禾田,9.28,1.56,6066570240.0
300070,碧水源,-132.7,0.71,19280793811.0
300382,斯莱克,181.86,2.98,6410839750.0
002410,广联达,59.25,3.86,22730754146.0
872953,国子软件,107.57,4.74,2516356162.0
300212,易华录,-26.61,6.08,19609869575.0
300102,乾照光电,117.31,1.88,7635175254.0
300955,嘉亨家化,-138.56,1.58,1509984000.0
300341,麦克奥迪,45.18,4.03,7000561846.0
300061,旗天科技,-292.26,11.46,8626227232.0
688597,煜邦电力,29.56,2.86,2290280026.0
300732,设研院,-14.99,0.97,2623690698.0
600316,洪都航空,2579.61,3.46,18286420056.0
603737,三棵树,48.77,7.97,20484975136.0
301005,超捷股份,106.55,4.89,3799061103.0
600318,新力金融,104.33,3.58,3789057200.0
002209,达意隆,32.03,2.74,1831067260.0
600039,四川路桥,9.87,1.43,63080803804.0
003015,日久光电,56.41,3.98,3732565338.0
603773,沃格光电,-68.31,3.1,4156140060.0
301061,匠心家居,16.47,2.99,9396608000.0
601600,中国铝业,11.15,2.43,156484436799.0
000987,越秀资本,17.66,1.25,35872497103.0
002532,天山铝业,9.57,1.56,39680582590.0
603033,三维股份,127.01,4.4,15250908964.0
600966,博汇纸业,24.99,0.97,6550537011.0
002312,川发龙蟒,31.14,1.98,18288797832.0
600106,重庆路桥,39.81,1.61,7774796613.0
688679,通源环境,181.71,0.94,1056151194.0
301182,凯旺科技,-57.43,2.83,2504779238.0
300847,中船汉光,46.61,4.22,5698192500.0
001270,铖昌科技,-156.72,5.61,7610938280.0
002589,瑞康医药,75.66,0.85,4694696670.0
600455,博通股份,63.78,4.28,1189824900.0
301321,翰博高新,-23.84,2.73,3145158450.0
601963,重庆银行,4.76,0.56,28838899585.0
002607,中公教育,75.03,25.46,17392066277.0
300542,新晨科技,-205.98,9.28,5896558005.0
600151,航天机电,-154.26,2.07,10140163669.0
301381,赛维时代,23.84,4.61,11234808000.0
836247,华密新材,46.58,4.4,1918403191.0
002653,海思科,130.92,10.63,43128041025.0
603766,隆鑫通用,14.11,1.93,16633688985.0
688038,中科通达,101.81,2.28,1425574150.0
603153,上海建科,49.83,2.25,7680797126.0
600577,精达股份,18.72,2.07,10817521598.0
688143,长盈通,89.91,2.3,2728949700.0
300740,水羊股份,23.86,2.46,5048396743.0
603529,爱玛科技,15.5,3.87,29470652145.0
688210,统联精密,39.07,2.64,3237662171.0
838227,美登科技,23.57,2.44,951340845.0
600439,瑞贝卡,213.7,1.27,3475195301.0
603707,健友股份,29.34,3.95,23765983789.0
000761,本钢板材,-4.5,0.96,13967962831.0
873223,荣亿精密,-33.72,3.0,841474750.0
000612,焦作万方,11.09,1.33,7975813946.0
002573,清新环境,40.66,0.92,5811505402.0
002995,天地在线,-61.81,2.83,2766515343.0
603530,神马电力,37.84,6.67,10676904177.0
300388,节能国祯,12.51,1.12,4828589418.0
600595,中孚实业,13.43,0.84,11908007439.0
300037,新宙邦,35.04,3.25,29137556924.0
603988,中电电机,-68.15,5.25,3382176000.0
300203,聚光科技,82.25,2.54,7493917920.0
600127,金健米业,369.94,6.52,4563078680.0
001367,海森药业,26.5,2.41,3076564800.0
300422,博世科,48.94,1.22,2573303475.0
000592,平潭发展,81.13,1.7,3535159032.0
002208,合肥城建,209.18,0.91,6024689205.0
601665,齐鲁银行,5.7,0.75,26737424408.0
301586,佳力奇,34.86,3.47,4290663260.0
300986,志特新材,180.82,2.07,2738286133.0
300476,胜宏科技,40.51,4.68,37190507314.0
002096,易普力,22.94,2.27,16100921195.0
002982,湘佳股份,87.29,1.68,2548887182.0
688378,奥来德,21.82,2.29,4006853254.0
002777,久远银海,322.75,4.44,7250183235.0
603801,志邦家居,17.87,1.68,5317152362.0
301517,陕西华达,111.87,4.13,5528806506.0
300210,森远股份,-68.56,11.54,4842199530.0
837592,华信永道,-61.65,8.75,3082640000.0
300917,特发服务,88.79,9.74,10227880000.0
600502,安徽建工,7.17,0.87,8788653763.0
300118,东方日升,-7.48,1.03,14398375090.0
603176,汇通集团,29.1,2.08,2230678422.0
002085,万丰奥威,37.82,4.48,30108358834.0
601107,四川成渝,11.24,1.0,15687847800.0
002178,延华智能,-137.46,7.79,3411212875.0
301113,雅艺科技,147.45,2.32,1689800000.0
600281,华阳新材,-19.62,9.84,1939295634.0
000753,漳州发展,43.82,1.19,3232228291.0
001328,登康口腔,31.89,3.38,4619423054.0
600266,城建发展,-42.82,0.59,11790223120.0
300711,广哈通信,176.22,7.31,5080588656.0
300733,西菱动力,70.76,2.16,3435801387.0
688682,霍莱沃,194.31,3.66,2393941458.0
002459,晶澳科技,-25.93,1.42,45342500482.0
688408,中信博,35.52,5.4,16435877337.0
000886,海南高速,85.83,1.65,5013359481.0
600012,皖通高速,15.97,2.07,25874316000.0
600219,南山铝业,11.74,1.05,51400547003.0
000652,泰达股份,30.19,1.05,5976074101.0
835640,富士达,43.27,3.44,2911661280.0
002963,豪尔赛,115.49,1.16,1775750773.0
002973,侨银股份,12.14,1.82,4184729119.0
603843,正平股份,-12.63,2.21,1979933761.0
300493,润欣科技,166.62,7.59,8436985274.0
430564,天润科技,-52.28,3.18,977075426.0
600153,建发股份,12.23,0.54,29323597250.0
300958,建工修复,256.54,1.45,1987419822.0
601997,贵阳银行,4.29,0.39,22887799956.0
688102,斯瑞新材,55.91,5.98,6255105854.0
603300,华铁应急,15.3,1.74,10247154065.0
002855,捷荣技术,-20.22,6.56,5125529386.0
002941,新疆交建,52.46,2.36,7521828828.0
300602,飞荣达,92.2,2.77,10428515629.0
002717,岭南股份,-6.71,1.81,3481245009.0
002379,宏创控股,-188.45,3.46,6954607368.0
603327,福蓉科技,45.64,5.23,9535271887.0
601001,晋控煤业,9.87,1.64,28352478000.0
002384,东山精密,35.12,2.17,39372488427.0
600331,宏达股份,122.6,37.76,14305280000.0
600919,江苏银行,4.34,0.73,162409221498.0
301024,霍普股份,-39.07,2.94,1492975800.0
300417,南华仪器,26.95,2.99,1410222336.0
600649,城投控股,-60.65,0.6,12344329094.0
600048,保利发展,8.75,0.67,129879311085.0
600461,洪城环境,10.28,1.44,12432015496.0
300440,运达科技,97.46,1.79,2823927550.0
836892,广咨国际,17.94,4.18,1545551373.0
001914,招商积余,13.71,1.19,11939496636.0
002058,威尔泰,-92.89,10.59,1433048837.0
600892,大晟文化,-78.41,19.5,2439263860.0
002246,北化股份,83.47,2.0,5786826729.0
688270,臻镭科技,547.14,2.91,6160405048.0
600801,华新水泥,18.67,0.95,27276422915.0
002541,鸿路钢构,11.82,1.13,10108667039.0
300857,协创数据,25.99,6.59,18600150273.0
300765,新诺威,169.08,11.87,46337521223.0
002572,索菲亚,14.69,2.51,16593302636.0
600552,凯盛科技,133.28,2.7,11099131005.0
300561,汇金科技,-950.39,9.98,6266862323.0
300606,金太阳,95.97,4.48,3114800910.0
301153,中科江南,178.44,6.99,11781806400.0
002244,滨江集团,13.99,1.24,32639046406.0
600248,陕建股份,5.05,0.69,15974548893.0
688212,澳华内镜,572.43,4.64,6481721960.0
603081,大丰实业,41.76,1.44,4004516285.0
600340,华夏幸福,-0.6,1.24,5792306106.0
603815,交建股份,26.49,1.74,4010629043.0
300218,安利股份,21.39,2.98,3953503140.0
002047,宝鹰股份,-6.3,113.14,2820222569.0
002190,成飞集成,-111.68,1.99,5940557920.0
601598,中国外运,10.48,1.06,40774672331.0
688506,百利天恒-U,8.58,16.58,80079700000.0
605289,罗曼股份,279.46,2.19,2865453730.0
002142,宁波银行,6.23,0.88,170174534710.0
601838,成都银行,4.97,0.9,61290422034.0
002451,摩恩电气,160.91,4.02,3039264000.0
300447,全信股份,50.77,2.13,4331744901.0
600207,安彩高科,238.26,1.57,4901906493.0
300696,爱乐达,-142.27,2.72,5004121420.0
832023,田野股份,20.68,0.91,1106287520.0
601668,中国建筑,4.51,0.61,265889960417.0
300466,赛摩智能,794.0,5.29,4332436956.0
600435,北方导航,-108.72,6.2,16137537113.0
688256,寒武纪-U,-138.4,27.79,146736048680.0
002970,锐明技术,26.33,4.45,6512697000.0
301141,中科磁业,359.34,3.24,4040982271.0
601198,东兴证券,30.04,1.26,34619491519.0
300980,祥源新材,87.19,2.15,1903329243.0
000768,中航西飞,60.36,3.97,79335226825.0
688360,德马科技,16.8,2.07,2852220997.0
002843,泰嘉股份,37.0,2.9,4027925383.0
300190,维尔利,33.79,0.8,2852816760.0
300572,安车检测,-102.05,1.55,3079899521.0
000401,冀东水泥,-8.89,0.52,14327778090.0
601825,沪农商行,5.6,0.66,78120000005.0
002984,森麒麟,12.73,2.26,27424250911.0
600301,华锡有色,15.77,2.98,11000348460.0
688152,麒麟信安,-154.06,3.69,4481803332.0
603833,欧派家居,18.01,2.1,35647605002.0
002640,跨境通,-186.13,3.18,4237872418.0
603660,苏州科达,-6.24,4.52,3229358265.0
833781,瑞奇智造,26.77,1.78,711008450.0
300854,中兰环保,51.07,1.3,1278769525.0
300868,杰美特,74.88,1.81,2790400000.0
688435,英方软件,-66.0,2.51,2816455000.0
300786,国林科技,-48.04,2.0,2371964680.0
300455,航天智装,240.69,5.45,9819065364.0
688066,航天宏图,-12.87,2.36,4755242183.0
839167,同享科技,16.74,3.27,2061378089.0
000933,神火股份,9.55,2.14,43621846051.0
301128,强瑞技术,41.76,4.83,3967711601.0
600505,西昌电力,-69.99,3.02,3572761500.0
300407,凯发电气,42.6,2.13,3742037798.0
603360,百傲化学,27.41,5.64,9019484950.0
603967,中创物流,13.37,1.59,3542933776.0
300593,新雷能,-47.04,2.22,6401481934.0
688593,新相微,-1089.76,4.67,7338684710.0
605598,上海港湾,32.5,2.71,4797251616.0
688458,美芯晟,-102.31,1.64,3278061526.0
002536,飞龙股份,16.67,1.89,6127217566.0
300633,开立医疗,42.62,4.55,14539136808.0
300189,神农种业,-89.99,3.75,2836480000.0
688586,江航装备,37.68,3.16,7850084428.0
300490,华自科技,-44.53,1.18,3225166282.0
833580,科创新材,47.37,1.83,597700000.0
000820,神雾节能,-84.0,24.91,1898990762.0
001212,中旗新材,55.5,1.69,2630172735.0
002456,欧菲光,413.05,9.11,32337427848.0
003002,壶化股份,31.92,3.1,3992000000.0
300746,汉嘉设计,466.32,2.94,3469598101.0
834639,晨光电缆,12.57,1.19,1008000000.0
830964,润农节水,47.22,1.05,940348800.0
600606,绿地控股,67.03,0.35,28108436628.0
601577,长沙银行,4.11,0.54,33861482609.0
002427,尤夫股份,-42.85,3.67,3360325770.0
688299,长阳科技,136.93,2.19,4671190409.0
300565,科信技术,-18.92,4.61,3418456138.0
688309,恒誉环保,-670.65,1.5,1079344788.0
000425,徐工机械,12.53,1.56,92875065491.0
002428,云南锗业,-492.43,6.53,9104492800.0
688192,迪哲医药-U,-26.32,29.8,18147415219.0
301273,瑞晨环保,-22.7,1.29,1245850763.0
603283,赛腾股份,45.48,6.0,14016120876.0
301136,招标股份,484.55,2.55,3729025311.0
002073,软控股份,20.87,1.47,8014804167.0
833346,威贸电子,25.06,2.6,1111806269.0
300053,航宇微,-178.48,4.3,8780616470.0
002667,威领股份,-19.89,3.24,2026221560.0
600683,京投发展,-11.66,2.2,3326091411.0
002352,顺丰控股,21.98,2.39,211322184334.0
831087,秋乐种业,-134.31,2.26,1146488000.0
603317,天味食品,28.63,3.39,14133661946.0
605303,园林股份,-9.54,1.0,1152847467.0
300342,天银机电,103.11,4.54,6877068128.0
600383,金地集团,-3.58,0.39,24062730439.0
300405,科隆股份,-38.69,2.66,1282520746.0
600839,四川长虹,48.97,1.91,27466653121.0
002648,卫星化学,15.48,2.42,63667403541.0
873576,天力复合,27.03,4.83,2126704000.0
605069,正和生态,-21.35,1.38,1392971379.0
300598,诚迈科技,-120.55,9.02,13392113055.0
003000,劲仔食品,21.69,4.9,6218864703.0
002052,*ST同洲,-25.53,-69.01,1842520444.0
001298,好上好,158.94,4.04,6246413124.0
600869,远东股份,-37.03,2.17,9609797390.0
831152,昆工科技,-64.21,2.55,1097862087.0
301059,金三江,47.78,4.03,2242193800.0
300237,美晨科技,-6.99,18.87,2681961770.0
002761,浙江建投,29.54,1.49,9840216768.0
000908,*ST景峰,-72.83,-47.28,3466310943.0
603477,巨星农牧,-107.43,3.43,9635224907.0
002700,ST浩源,31.56,3.92,3263526380.0
601333,广深铁路,14.52,0.98,26492428380.0
002742,ST三圣,-9.45,4.47,1257120000.0
600021,上海电力,9.94,1.4,26392887954.0
002197,ST证通,-29.54,0.94,2303860980.0
000560,我爱我家,142.82,0.88,8385583030.0
002265,建设工业,59.87,3.07,10619655384.0
688510,航亚科技,30.68,3.87,4123786424.0
003010,若羽臣,30.72,2.31,2392509414.0
300836,佰奥智能,102.54,5.62,2907072594.0
002865,钧达股份,-31.53,2.45,10490725724.0
836260,中寰股份,16.92,1.78,719672500.0
300589,江龙船艇,119.32,5.93,4932344028.0
002520,日发精机,-79.37,3.08,3713137593.0
688636,智明达,851.21,2.67,2900417795.0
832802,保丽洁,41.03,1.68,693916300.0
600082,海泰发展,-26.77,0.95,1641134198.0
002043,兔宝宝,19.48,3.24,9510433490.0
000598,兴蓉环境,12.25,1.33,22741392574.0
301372,科净源,-22.48,1.77,1540114318.0
600715,*ST文投,-9.25,-2.89,3542770185.0
605588,冠石科技,74.34,2.81,3018920152.0
300626,华瑞股份,88.93,3.52,1875600000.0
603979,金诚信,23.29,3.59,28536986191.0
833943,优机股份,18.55,1.66,931966250.0
002980,华盛昌,23.6,3.3,3473335070.0
300758,七彩化学,38.07,3.09,5116086310.0
831641,格利尔,-82.16,1.87,661043250.0
430198,微创光电,-13.91,3.55,1379661106.0
688085,三友医疗,1457.84,2.57,4887081033.0
000557,西部创业,22.0,1.14,6868945002.0
300577,开润股份,11.71,2.94,5810173026.0
002134,天津普林,68.99,6.14,2854315806.0
000638,万方发展,640.83,7.93,1342076035.0
002679,福建金森,-24.28,2.55,1829466560.0
300395,菲利华,63.1,5.48,21738996731.0
000510,新金路,-19.22,1.67,2237475382.0
300762,上海瀚讯,-114.5,4.88,11918790353.0
688108,赛诺医疗,285.46,5.02,4374364480.0
002229,鸿博股份,-69.1,3.62,5468030198.0
836395,朗鸿科技,26.55,6.44,1325286060.0
600053,九鼎投资,423.93,2.33,6767571888.0
000901,航天科技,1079.62,2.04,8492862960.0
688522,纳睿雷达,978.95,5.3,11530409940.0
300948,冠中生态,87.05,1.75,1491307412.0
603880,南卫股份,581.48,2.53,1193743460.0
832522,纳科诺尔,9.61,1.97,1901386680.0
831832,科达自控,38.19,1.66,1109740800.0
603656,泰禾智能,158.22,1.63,2075809053.0
600926,杭州银行,4.33,0.86,86641513626.0
688628,优利德,19.51,3.38,4030633931.0
688668,鼎通科技,56.5,3.21,5571382583.0
605098,行动教育,17.44,4.77,4750007808.0
601155,新城控股,12.38,0.53,32638862726.0
837403,康农种业,44.23,1.66,684881730.0
002968,新大正,14.29,1.94,2337449498.0
688122,西部超导,43.06,4.79,30014499761.0
300284,苏交科,36.97,1.4,11668528632.0
